,store_location,cabelas_county,cabelas_state
0,"7090 Cabela Drive NW Huntsville, AL 35806",madison county,Alabama
1,"5000 Bass Pro Blvd Leeds, AL 35094",jefferson county,Alabama
2,"2553 Rocky Mount Rd Prattville, AL 36066",elmore county,Alabama
3,"20000 Bass Pro Dr Spanish Fort, AL 36527",baldwin county,Alabama
4,"155 W 104th Avenue Anchorage, AK 99515",anchorage county,Alaska
5,"3046 Mountain View Dr Anchorage, AK 99501",anchorage county,Alaska
6,"9380 W Glendale Ave Glendale, AZ 85305",maricopa county,Arizona
7,"1133 North Dobson Mesa, AZ 85201",maricopa county,Arizona
8,"1 Bass Pro Dr Little Rock, AR 72210",pulaski county,Arkansas
9,"2300 S Promenade Blvd Rogers, AR 72758",benton county,Arkansas
10,"1356 Bass Pro Dr Manteca, CA 95337",san joaquin county,California
11,"7777 Victoria Gardens Lane Rancho Cucamonga, CA 91739",san bernardino county,California
12,"5472 Crossings Dr Rocklin, CA 95677",placer county,California
13,"5160 Cherry Ave San Jose, CA 95118",santa clara county,California
14,"13012 Bass Pro Dr Colorado Springs, CO 80921",el paso county,Colorado
15,"7970 Northfield Blvd Denver, CO 80238",denver county,Colorado
16,"2424 US Hwy 6 Grand Junction, CO 81505",mesa county,Colorado
17,"10670 Cabela Dr Lone Tree, CO 80124",douglas county,Colorado
18,"14050 Lincoln Street Thornton, CO 80023",adams county,Colorado
19,"1 Bass Pro Dr Bridgeport, CT 06608",fairfield county,Connecticut
20,"475 E Hartford Blvd East Hartford, CT 06118",hartford county,Connecticut
21,"1100 Christiana Mall Newark, DE 19702",new castle county,Delaware
22,"200 Gulf Stream Way Dania Beach, FL 33004",broward county,Florida
23,"1880 W Checkered Flag Blvd Daytona Beach, FL 32114",volusia county,Florida
24,"4301 Legendary Dr Destin, FL 32541",okaloosa county,Florida
25,"10040 Gulf Center Dr Ft. Myers, FL 33913",lee county,Florida
26,"2650 Bass Pro Shops Blvd Gainesville, FL 32608",alachua county,Florida
