,store_location,cinemarks_county,cinemarks_state
0,"301 E. 36th Ave, Anchorage, AK 99503",anchorage county,Alaska
1,"370 The Bridge Street, Huntsville, AL 35806",madison county,Alabama
2,"17314 I-30, Benton, AR 72015",saline county,Arkansas
3,"201 Skyline Drive, Conway, AR 72032",faulkner county,Arkansas
4,"18 Colonel Glenn Plaza Dr., Little Rock, AR 72210",pulaski county,Arkansas
5,"1051 N. Dobson Rd., Mesa, AZ 85201",maricopa county,Arizona
6,"12155 North Oracle Road, Oro Valley, AZ 85737",pima county,Arizona
7,"2175 El Mercado Loop, Sierra Vista, AZ 85635",cochise county,Arizona
8,"770 N. Kolb Road, Tucson, AZ 85710",pima county,Arizona
9,"3601 E. Broadway, Tucson, AZ 85716",pima county,Arizona
10,"1300 E Tucson Marketplace Tucson, AZ 85713",pima county,Arizona
11,"5870 E. Broadway Blvd., Tucson, AZ 85711",pima county,Arizona
12,"18935 Bear Valley Road, Apple Valley, CA 92308",san bernardino county,California
13,"20700 Avalon Blvd., Carson, CA 90746",los angeles county,California
14,"801 East Ave, Chico, CA 95926",butte county,California
15,"5546 Philadelphia St., Chino, CA 91710",san bernardino county,California
16,"1901 Junipero Serra Blvd., Daly City, CA 94015",san mateo county,California
17,"4175 Blackhawk Plaza Circle, Danville, CA 94506",contra costa county,California
18,"8840 Apollo Way, Downey, CA 90242",los angeles county,California
19,"3651 South Dogwood Road, El Centro, CA 92243",imperial county,California
20,"9349 Big Horn Blvd., Elk Grove, CA 95758",sacramento county,California
21,"261 Iron Point Road, Folsom, CA 95630",sacramento county,California
22,"43917 Pacific Commons Blvd, Fremont, CA 94538",alameda county,California
23,"1669 W. Lacey, Hanford, CA 93230",kings county,California
24,"256 Southland Mall Drive, Hayward, CA 94545",alameda county,California
25,"1069 B Street, Hayward, CA 94541",alameda county,California
26,"7777 Edinger Ave., Huntington Beach, CA 92647",orange county,California
27,"46800 Washington Street, La Quinta, CA 92253",riverside county,California
28,"500 Larkspur Landing Cir., Larkspur, CA 94939",marin county,California
29,"99 South Pine Avenue, Long Beach, CA 90802",los angeles county,California
30,"6081 Center Drive, Los Angeles, CA 90045",los angeles county,California
31,"4020 Marlton Ave., Los Angeles, CA 90008",los angeles county,California
32,"100 Tenth Street, Marina, CA 93933",alameda county,California
33,"25 Throckmorton Avenue, Mill Valley, CA 94941",marin county,California
34,"1010 Great Mall Drive, Milpitas, CA 95035",santa clara county,California
35,"1700 Del Monte Center, Monterey, CA 93940",monterey county,California
36,"1500 N. Shoreline Blvd., Mountain View, CA 94043",santa clara county,California
37,"195 Gasser Dr., Napa, CA 94559",napa county,California
38,"12827 Victory Blvd., North Hollywood, CA 91606",los angeles county,California
39,"44 Rowland Way, Novato, CA 94945",marin county,California
40,"1701 W. Katella Ave., Orange, CA 92867",orange county,California
41,"2766 Seaglass Way, Oxnard, CA 93036",ventura county,California
42,"1475 W. Avenue P, Palmdale, CA 93551",los angeles county,California
43,"3000 El Camino Real, Palo Alto, CA 94306",santa clara county,California
44,"12746 W. Jefferson Blvd., Playa Vista, CA 90094",los angeles county,California
45,"125 Crescent Drive, Pleasant Hill, CA 94523",contra costa county,California
46,"71800 Highway 111, Rancho Mirage, CA 92270",riverside county,California
47,"980 Old Alturas Rd., Redding, CA 96003",shasta county,California
48,"825 Middlefield Rd., Redwood City, CA 94063",san mateo county,California
