,state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,cabelas,cinemark,nordstrom,trader_joes,Metro_2013,Unemployment_rate_2019,Median_Household_Income_2019,percent_poverty,median_income,total_pop,male_pop,female_pop,white_pop,asian_pop,black_pop,hispanic_pop,other_pop,percent_educated
0,Alabama,1001,autauga county,19838,7503,27770,12335,0.714368023046453,0.2701836514223982,0.4441843716240547,False,False,False,False,1.0,2.7,"58,233",12.1,58233,111738.0,54184.0,57554.0,82430.0,1292.0,22196.0,3342.0,2478.0,55.0
1,Alabama,1003,baldwin county,83544,24578,109679,58966,0.7617137282433283,0.22409029987509,0.5376234283682382,True,False,False,False,1.0,2.7,"59,871",10.1,59871,446468.0,216494.0,229974.0,371494.0,4692.0,38430.0,21068.0,10784.0,63.2
2,Alabama,1005,barbour county,5622,4816,10518,806,0.5345122646891044,0.4578817265639855,0.0766305381251188,False,False,False,False,0.0,3.8,"35,972",27.1,35972,49372.0,26128.0,23244.0,22470.0,232.0,23614.0,2234.0,822.0,37.6
3,Alabama,1007,bibb county,7525,1986,9595,5539,0.7842626367899947,0.2069828035435122,0.5772798332464825,False,False,False,False,1.0,3.1,"47,918",20.3,47918,44788.0,23858.0,20930.0,33326.0,92.0,9438.0,1246.0,686.0,34.2
4,Alabama,1009,blount county,24711,2640,27588,22071,0.8957155284906481,0.0956937799043062,0.8000217485863419,False,False,False,False,1.0,2.7,"52,902",16.3,52902,115652.0,56944.0,58708.0,100352.0,326.0,1744.0,11164.0,2066.0,47.1
5,Alabama,1011,bullock county,1146,3446,4613,-2300,0.2484283546499024,0.7470192933015392,-0.4985909386516367,False,False,False,False,0.0,3.6,"31,906",30.0,31906,20202.0,11016.0,9186.0,4242.0,32.0,13956.0,1728.0,244.0,34.4
6,Alabama,1013,butler county,5458,3965,9488,1493,0.5752529510961214,0.4178962900505902,0.1573566610455312,False,False,False,False,0.0,3.6,"39,944",21.6,39944,38896.0,18048.0,20848.0,19874.0,540.0,17360.0,578.0,544.0,39.8
7,Alabama,1015,calhoun county,35101,15216,50983,19885,0.6884843967597042,0.2984524253182433,0.3900319714414608,False,False,False,False,1.0,3.5,"47,747",17.2,47747,227210.0,108962.0,118248.0,162928.0,1974.0,47710.0,9228.0,5370.0,51.7
8,Alabama,1017,chambers county,8753,6365,15284,2388,0.5726903951845067,0.4164485736718136,0.156241821512693,False,False,False,False,0.0,2.9,"42,015",19.6,42015,66508.0,31790.0,34718.0,36662.0,712.0,26462.0,1742.0,930.0,44.900000000000006
9,Alabama,1019,cherokee county,10583,1624,12301,8959,0.8603365580034144,0.1320217868465978,0.7283147711568165,False,False,False,False,0.0,2.9,"45,982",15.9,45982,52392.0,25852.0,26540.0,48028.0,196.0,2138.0,898.0,1132.0,41.400000000000006
10,Alabama,1021,chilton county,16085,3073,19310,13012,0.8329880890730191,0.1591403417918177,0.6738477472812014,False,False,False,False,1.0,2.7,"49,692",16.0,49692,88856.0,43600.0,45256.0,70962.0,390.0,8824.0,7272.0,1408.0,37.3
11,Alabama,1023,choctaw county,4296,3127,7464,1169,0.5755627009646302,0.4189442658092175,0.1566184351554126,False,False,False,False,0.0,4.7,"39,808",22.6,39808,25178.0,11876.0,13302.0,14182.0,44.0,10468.0,256.0,228.0,43.7
12,Alabama,1025,clarke county,7324,5755,13135,1569,0.5575942139322421,0.4381423677198325,0.1194518462124095,False,False,False,False,0.0,5.8,"43,822",18.4,43822,47244.0,22306.0,24938.0,24618.0,198.0,21138.0,620.0,670.0,38.8
13,Alabama,1027,clay county,5601,1267,6930,4334,0.8082251082251082,0.1828282828282828,0.6253968253968254,False,False,False,False,0.0,3.0,"40,562",16.6,40562,26470.0,12894.0,13576.0,21268.0,66.0,3572.0,870.0,694.0,38.9
