,store_location,nordstroms_county,nordstroms_state
0,"500 Pine Street Seattle, WA 98101",king county,Washington
1,"17200 Southcenter Parkway, Tukwila, WA 98188",king county,Washington
2,"100 Bellevue Square Bellevue, WA 98004",king county,Washington
3,"100 Southcenter Mall Tukwila, WA 98188",king county,Washington
4,"4502 S Steele Street, Tacoma, WA 98409",pierce county,Washington
5,"828 W Main Avenue Spokane, WA 99201",spokane county,Washington
6,"3200 184th Street Southwest Lynnwood, WA 98037",snohomish county,Washington
7,"680 E Northern Lights Boulevard Anchorage, AK 99503",anchorage county,Alaska
8,"3920 124th Street Southeast Bellevue, WA 98006",king county,Washington
9,"19500 Alderwood Mall Parkway Lynnwood, WA 98036",snohomish county,Washington
10,"400 Pine Street, Seattle, WA 98101",king county,Washington
11,"1101 Outlet Collection DR Southwest, Auburn, WA 98001",king county,Washington
12,"701 SW Broadway Portland, OR 97205",multnomah county,Oregon
13,"8930 SE Sunnyside Road Clackamas, OR 97015",clackamas county,Oregon
14,"9700 SW Washington Square Road Tigard, OR 97223",washington county,Oregon
15,"18100 NW Evergreen Parkway Beaverton, OR 97006",washington county,Oregon
16,"245 SW Morrison Street Portland, OR 97204",multnomah county,Oregon
17,"6191 S State Street, Murray, UT 84107",salt lake county,Utah
18,"2210 S 1300 East Salt Lake City, UT 84106",salt lake county,Utah
19,"8465 Park Meadows Center Drive Lone Tree, CO 80124",spartanburg county,Colorado
20,"8676 S Park Meadows Center Drive Lone Tree, CO 80124",douglas county,Colorado
21,"2810 E 1st Avenue Denver, CO 80206",denver county,Colorado
22,"8401 Melrose PL Los Angeles, CA 90069",los angeles county,California
23,"2255 Kuhio Avenu, Honolulu, HI 96815",honolulu county,Hawaii
24,"1170 Auahi Street Honolulu, HI 96814",honolulu county,Hawaii
25,"214 26th Street Santa Monica, CA 90402",los angeles county,California
26,"700 W 7th Street, Los Angeles, CA 90017",los angeles county,California
27,"189 The Grove Drive, J-10 Los Angeles, CA 90036",los angeles county,California
28,"10379 S State Street Sandy, UT 84070",salt lake county,Utah
29,"380 N Station Parkway Farmington, UT 84025",davis county,Utah
30,"55 SW Temple Salt Lake City, UT 84101",salt lake county,Utah
31,"360 E University Parkway Orem, UT 84058",utah county,Utah
32,"14018 E Indiana Avenue Spokane, WA 99216",spokane county,Washington
33,"393 S Vance Street Lakewood, CO 80226",jefferson county,Colorado
34,"401 NE Northgate Way, Seattle, WA 98125",king county,Nebraska
35,"5 Oakway Center Eugene, OR 97401",lane county,Oregon
36,"10159 NE Cascades Parkway Portland, OR 97220",multnomah county,Nebraska
37,"5703 N Marine Drive Portland, OR 97203 FALL",multnomah county,Alabama
38,"9175 SW Cascade Avenue Beaverton, OR 97008",washington county,Oregon
39,"534 N Milwaukee Street Boise, ID 83704",ada county,Idaho
40,"1601 29th Street, Boulder, CO 80301",boulder county,Colorado
41,"1505 S Colorado Boulevard Denver, CO 80222",denver county,Colorado
42,"7645 Academy Boulevard North Colorado Springs, CO80920",el paso county,Colorado
43,"500 Bellevue Way Northeast, Bellevue, WA 98004",king county,Washington
44,"12520 Totem Lake Boulevard Northeast Kirkland, WA 98034",king county,Washington
