,store_location,trader_joes_county,trader_joes_state
0,"205 Summit Blvd, Birmingham, AL 35243",jefferson county,Alabama
1,"4025 E Chandler Blvd, Ahwatukee, AZ 85048",maricopa county,Arizona
2,"7720 W Bell Rd, Glendale, AZ 85308",maricopa county,Arizona
3,"2050 E Baseline Rd, Mesa, AZ 85204",maricopa county,Arizona
4,"4726 E Shea Blvd, Phoenix, AZ 85028",maricopa county,Arizona
5,"4821 N 20th St, Phoenix, AZ 85016",maricopa county,Arizona
6,"252 Lee Blvd, Prescott, AZ 86303",yavapai county,Arizona
7,"6202 N Scottsdale Rd, Scottsdale, AZ 85253",maricopa county,Arizona
8,"7555 E Frank Lloyd Wright Blvd, North Scottsdale, AZ 85260",maricopa county,Arizona
9,"14095 W Grand Ave, Surprise, AZ 85374",maricopa county,Arizona
10,"6460 S McClintock Dr, Tempe, AZ 85283",maricopa county,Arizona
11,"4209 N Campbell Ave, Tucson, AZ 85719",pima county,Arizona
12,"4766 E Grant Rd, Tucson, AZ 85712",pima county,Arizona
13,"1101 N Wilmot Rd, Tucson, AZ 85712",pima county,Arizona
14,"7912 N Oracle Rd, Oro Valley, AZ 85704",pima county,Arizona
15,"28941 Canwood St, Agoura Hills, CA 91301",los angeles county,California
16,"2217 S Shore Ctr, Alameda, CA 94501",alameda county,California
17,"26541 Aliso Creek Rd, Aliso Viejo, CA 92656",orange county,California
18,"955 Rancho Pkwy, Arroyo Grande, CA 93420",san luis obispo county,California
19,"8200-C 21 Stockdale Hwy, Bakersfield, CA 93311",kern county,California
20,"1885 University Ave, Berkeley, CA 94703",alameda county,California
21,"2500 E Imperial Hwy, Brea, CA 92821",orange county,California
22,"5451 Lone Tree Way, Brentwood, CA 94513",contra costa county,California
23,"214 East Alameda Ave, Burbank, CA 91502",los angeles county,California
24,"363 Carmen Dr, Camarillo, CA 93010",ventura county,California
25,"1875 Bascom Ave, Campbell, CA 95008",santa clara county,California
26,"3555 Clares St, Capitola, CA 95010",santa cruz county,California
27,"2629 Gateway Rd, Carlsbad, CA 92009",san diego county,California
28,"22224 Redwood Rd, Castro Valley, CA 94546",alameda county,California
29,"67720 E Palm Cyn Dr, Cathedral City, CA 92234",riverside county,California
30,"12861 Towne Center Dr, Cerritos, CA 90703",los angeles county,California
31,"10330 Mason Ave, Chatsworth, CA 91311",los angeles county,California
32,"801 East Ave, Chico, CA 95926",butte county,California
33,"13911 Peyton Dr, Chino Hills, CA 91709",san bernardino county,California
34,"878 Eastlake Pkwy, Chula Vista, CA 91914",san diego county,California
35,"475 W Foothill Blvd, Claremont, CA 91711",los angeles county,California
36,"1077 N Willow, Clovis, CA 93611",fresno county,California
37,"785 Oak Grove Rd, Concord, CA 94518",contra costa county,California
38,"1150 Concord Ave, Concord, CA 94520",contra costa county,California
39,"2790 Cabot Dr, Corona, CA 92883",riverside county,California
40,"640 W 17th St, Costa Mesa, CA 92627",orange county,California
41,"9290 Culver Blvd, Culver City, CA 90232",los angeles county,California
42,"6150 Slauson Ave, Culver City, CA 90230",los angeles county,California
43,"417 Westlake Ctr, Daly City, CA 94015",san mateo county,California
44,"85 Railroad Ave, Danville, CA 94526",contra costa county,California
45,"885 Russell Blvd, Davis, CA 95616",yolo county,California
46,"13480 Highlands Place, San Diego, CA 92130",san diego county,California
47,"1566 Colorado Blvd, Eagle Rock, CA 90041",los angeles county,California
48,"225 El Cerrito Plaza, El Cerrito, CA 94530",contra costa county,California
49,"9670 Bruceville Rd, Elk Grove, CA 95757",sacramento county,California
50,"5700 Christie Ave, Emeryville, CA 94608",alameda county,California
51,"115 N El Camino Real, Encinitas, CA 92024",san diego county,California
52,"17640 Burbank Blvd, Encino, CA 91316",los angeles county,California
53,"1885 S Centre City Pkwy, Escondido, CA 92025",san diego county,California
54,"5309 Sunrise Blvd, Fair Oaks, CA 95628",sacramento county,California
55,"1350 Gateway Blvd, Fairfield, CA 94533",solano county,California
56,"850 E Bidwell St, Folsom, CA 95630",sacramento county,California
57,"39324 Argonaut Way, Fremont, CA 94538",alameda county,California
58,"58478 N. Friant Road, Fresno, CA 93720",fresno county,California
59,"103 E Glenoaks Blvd, Glendale, CA 91207",los angeles county,California
60,"5767 Calle Real, Goleta, CA 93117",santa barbara county,California
61,"11114 Balboa Blvd, Granada Hills, CA 91344",los angeles county,California
62,"1100 Pacific Coast Hwy, Hermosa Beach, CA 90254",los angeles county,California
63,"1600 N Vine St, Los Angeles, CA 90028",los angeles county,California
64,"21431 Brookhurst St, Huntington Beach, CA 92646",orange county,California
65,"18681 Main St, Huntington Beach, CA 92648",orange county,California
66,"16821 Algonquin St, Huntington Beach, CA 92649",orange county,California
67,"6222 Irvine Blvd, Irvine, CA 92620",orange county,California
68,"4225 Campus Dr, Irvine, CA 92612",orange county,California
69,"14443 Culver Dr, Irvine, CA 92604",orange county,California
70,"475 Foothill Blvd, La Canada, CA 91011",los angeles county,California
71,"46400 Washington St, La Quinta, CA 92253",riverside county,California
72,"3649 Mt Diablo Blvd, Lafayette, CA 94549",contra costa county,California
73,"24321 Avenida De La Carlota, Laguna Hills, CA 92653",orange county,California
74,"32351 Street of the Golden Lantern, Laguna Niguel, CA 92677",orange county,California
75,"8657 Villa La Jolla Dr, La Jolla, CA 92037",san diego county,California
76,"5495 Grossmont Center Dr, La Mesa, CA 91942",san diego county,California
77,"2052 Redwood Hwy, Larkspur, CA 94921",marin county,California
78,"1122-A E Stanley Blvd, Livermore, CA 94550",alameda county,California
79,"2222 Bellflower Blvd, Long Beach, CA 90815",los angeles county,California
80,"4210 Long Beach Blvd, Long Beach, CA 90807",los angeles county,California
81,"6451 E Pacific Coast Hwy, Long Beach, CA 90803",orange county,California
82,"2310 Homestead Rd, Los Altos, CA 94024",santa clara county,California
83,"175 S Fairfax Ave, Los Angeles, CA 90048",los angeles county,California
84,"8500 Burton Way, Los Angeles, CA 90048",los angeles county,California
85,"263 S La Brea Ave, Los Angeles, CA 90036",los angeles county,California
86,"2738 Hyperion Ave, Los Angeles, CA 90027",los angeles county,California
87,"8000 Sunset Blvd, Los Angeles, CA 90046",los angeles county,California
88,"3131 S Hoover Street, Los Angeles, CA",los angeles county,California
89,"15466 Los Gatos Blvd, Los Gatos, CA 95032",santa clara county,California
90,"1821 Manhattan Beach Blvd, Manhattan Beach, CA 90266",los angeles county,California
91,"1800 Rosecrans Blvd, Manhattan Beach, CA 90266",los angeles county,California
92,"720 Menlo Ave, Menlo Park, CA 94025",san mateo county,California
93,"765 Broadway, Millbrae, CA 94030",san mateo county,California
94,"1072 Camino Del Rio N, San Diego, CA 92105",san diego county,California
95,"25410 Marguerite Pkwy, Mission Viejo, CA 92692",orange county,California
96,"3250 Dale Rd, Modesto, CA 95356",stanislaus county,California
97,"604 W Huntington Dr, Monrovia, CA 91016",los angeles county,California
98,"570 Munras Ave, Monterey, CA 93940",monterey county,California
99,"2462 Honolulu Ave, Montrose, CA 91020",los angeles county,California
100,"17035 Laurel Rd, Morgan Hill, CA 95037",santa clara county,California
101,"590 Showers Dr, Mountain View, CA 94040",santa clara county,California
102,"3654 Bel Aire Plaza, Napa, CA 94558",napa county,California
103,"125 N Reino Rd, Newbury Park, CA",ventura county,California
104,"8086 East Coast Hwy, Newport Beach, CA 92657",orange county,California
105,"7514 Redwood Blvd, Novato, CA 94945",marin county,California
106,"3250 Lakeshore Ave, Oakland, CA 94610",alameda county,California
107,"5727 College Ave, Oakland, CA 94618",alameda county,California
108,"2570 Vista Way, Oceanside, CA 92054",san diego county,California
109,"2114 N Tustin St, Orange, CA 92865",orange county,California
110,"1170 Forest Ave, Pacific Grove, CA 93950",monterey county,California
