"205 Summit Blvd, Birmingham, AL 35243"
"4025 E Chandler Blvd, Ahwatukee, AZ 85048"
"7720 W Bell Rd, Glendale, AZ 85308"
"2050 E Baseline Rd, Mesa, AZ 85204"
"4726 E Shea Blvd, Phoenix, AZ 85028"
"4821 N 20th St, Phoenix, AZ 85016"
"252 Lee Blvd, Prescott, AZ 86303"
"6202 N Scottsdale Rd, Scottsdale, AZ 85253"
"7555 E Frank Lloyd Wright Blvd, North Scottsdale, AZ 85260"
"14095 W Grand Ave, Surprise, AZ 85374"
"6460 S McClintock Dr, Tempe, AZ 85283"
"4209 N Campbell Ave, Tucson, AZ 85719"
"4766 E Grant Rd, Tucson, AZ 85712"
"1101 N Wilmot Rd, Tucson, AZ 85712"
"7912 N Oracle Rd, Oro Valley, AZ 85704"
"28941 Canwood St, Agoura Hills, CA 91301"
"2217 S Shore Ctr, Alameda, CA 94501"
"26541 Aliso Creek Rd, Aliso Viejo, CA 92656"
"955 Rancho Pkwy, Arroyo Grande, CA 93420"
"8200-C 21 Stockdale Hwy, Bakersfield, CA 93311"
"1885 University Ave, Berkeley, CA 94703"
"2500 E Imperial Hwy, Brea, CA 92821"
"5451 Lone Tree Way, Brentwood, CA 94513"
"214 East Alameda Ave, Burbank, CA 91502"
"363 Carmen Dr, Camarillo, CA 93010"
"1875 Bascom Ave, Campbell, CA 95008"
"3555 Clares St, Capitola, CA 95010"
"2629 Gateway Rd, Carlsbad, CA 92009"
"22224 Redwood Rd, Castro Valley, CA 94546"
"67720 E Palm Cyn Dr, Cathedral City, CA 92234"
"12861 Towne Center Dr, Cerritos, CA 90703"
"10330 Mason Ave, Chatsworth, CA 91311"
"801 East Ave, Chico, CA 95926"
"13911 Peyton Dr, Chino Hills, CA 91709"
"878 Eastlake Pkwy, Chula Vista, CA 91914"
"475 W Foothill Blvd, Claremont, CA 91711"
"1077 N Willow, Clovis, CA 93611"
"785 Oak Grove Rd, Concord, CA 94518"
"1150 Concord Ave, Concord, CA 94520"
"2790 Cabot Dr, Corona, CA 92883"
"640 W 17th St, Costa Mesa, CA 92627"
"9290 Culver Blvd, Culver City, CA 90232"
"6150 Slauson Ave, Culver City, CA 90230"
"417 Westlake Ctr, Daly City, CA 94015"
"85 Railroad Ave, Danville, CA 94526"
"885 Russell Blvd, Davis, CA 95616"
"13480 Highlands Place, San Diego, CA 92130"
"1566 Colorado Blvd, Eagle Rock, CA 90041"
"225 El Cerrito Plaza, El Cerrito, CA 94530"
"9670 Bruceville Rd, Elk Grove, CA 95757"
"5700 Christie Ave, Emeryville, CA 94608"
"115 N El Camino Real, Encinitas, CA 92024"
"17640 Burbank Blvd, Encino, CA 91316"
"1885 S Centre City Pkwy, Escondido, CA 92025"
"5309 Sunrise Blvd, Fair Oaks, CA 95628"
"1350 Gateway Blvd, Fairfield, CA 94533"
"850 E Bidwell St, Folsom, CA 95630"
"39324 Argonaut Way, Fremont, CA 94538"
